TSid,dataSetName,variableName,spreadsheetKey,worksheetKey
LPD08e64336,Asia-ENEPAB,year,1gITsheFdoJUI5JFRIyWQyjDDz4DoI5_2Rry3xfYZ9f4,odv37h0
LPD949c1ba8,Asia-ENGILC,year,1rcjYpnAo7mdVHpspdMP0BXrbns1Q0PnpL5tVqN5V7xY,okxkqcu
LPDe19307d7,Asia-ESPERG,year,1Dk-S93pwVvkLfytZyUThdn5VRdC1dFSE2LyxRLtxwD4,oe3q7bu
LPDd39240af,Asia-ESPPAK,year,1KlXJ2zb3BSflyKGlTFcKIasmYKoPuVnViwx2rZ59h9U,ofpo4ah
LPDbb7444f3,Asia-EastChina.Wang.1990,year,1RDbIZbp6lrvT0aKHWzrmEqzErhsqymsCntHTv-fTpPE,om01t1k
LPD73726cce,Asia-EastChinareg.Wang.1998,year,1j0saQFx9DCviJ9eu5tiItZ1BMVSwiDTtBQOLYcXCcgc,of4l7xb
LPD7cb02342,Asia-FujianandTai.Wang.1998,year,1DesqiaSVlfyYxF0nJEsgOzkn8yRNdfEueYeIr9uCIsc,odhl5sn
LPD34f5565b,Asia-GANGCD,year,1MpT1EDad1rppuFPKYAdBS824Cbtm9miXMTB_UbZvEs0,ottx5ij
LPD629661d7,Asia-GAYTTD,year,1nCnca0HZu_0Suc_35Gkq2sDM3r0JHffclDzI7eI4tyk,os9mowu
LPD1e49a3fa,Asia-GEFKJT,year,10ctD4EMz3-og_2IqeOYnAmnnuYL88qbfvE4WlJjuFi4,or4u9iv
LPD7d708cb7,Asia-GEYZSP,year,1JOhaUcMJQAJqmDkSaf1JzZtpgUZiZDvog02FQhSC6d8,o1r09pq
LPD0b7abc0c,Asia-GHEGAN,year,1IG-9z04WPwobCi9y8YiArOyXD8mocD-oT3r2yL6hOZw,or5sp53
LPD7142771f,Asia-GHUNAB,year,1ZxtEwHYkeBAviqRqFVCT_tCjSuhXBgJ7TaXfxU5jcW0,om90bda
LPD4550846f,Asia-GHURCH,year,1HGK5nk2UZ8xOC4wi8hSKkIfVOnbH_qoViBkeoR-cHBE,oqk4gsz
LPDe296b848,Asia-GOUQIN,year,1NiYroGZcy1IDv2iplcapthL6hIZhiUMAimNSbP-QBso,opqtowg
LPDdb326da9,Asia-GRAKJT,year,14zdAc_gnLl61LRFVesA9MjPZLDSjRlX2R11i6HMtmro,olkl2vb
LPD21d78784,Asia-Guangdong.Zheng.1982,year,1DAnOCENr-ipo62JIq8pWRkn7kDMA0Fb76GRWtG_q244,ocna6qn
LPD3ee969ae,Asia-Guangdongand.Zhang.1980,year,1r_0qqYXStA1C-UxCRycne3RrCA4VwV4I7HWaIvbCpI4,o2bjmrt
LPD17797310,Asia-Guliya.Thompson.1997,year,1AS2kHmfmNEUNKcFqbB6Solb3ce2pSRyHWGN4pGEG0iM,oyf7c2j
LPD15c59fa7,Asia-Guliya.Thompson.1997,year,1AS2kHmfmNEUNKcFqbB6Solb3ce2pSRyHWGN4pGEG0iM,o8ijiqe
LPD3bed9ae7,Asia-HBHXJP,year,1WubfBex4k1YDTdDvVkXV4JC93FOwQE0zgawb3DAhBEE,odo76o9
LPD49590f39,Asia-HBLXJP,year,1yds2029Tq0FrPfjE5g-mTYiKZnV5KlQQeTPXsfrjSBo,o20goql
